Time,Usage,UserID
1992-01-01,6938,1
1992-02-01,7524,2
1992-03-01,8475,3
1992-04-01,9401,4
1992-05-01,9558,5
1992-06-01,9182,1
1992-07-01,9103,2
1992-08-01,10513,3
1992-09-01,9573,4
1992-10-01,10254,5
1992-11-01,11187,1
1992-12-01,18395,2
1993-01-01,7502,3
1993-02-01,7524,4
1993-03-01,8766,5
1993-04-01,9867,1
1993-05-01,10063,2
1993-06-01,9635,3
1993-07-01,9794,4
1993-08-01,10628,5
1993-09-01,10013,1
1993-10-01,10346,2
1993-11-01,11760,3
1993-12-01,18851,4
1994-01-01,7280,5
1994-02-01,7902,1
1994-03-01,9921,2
1994-04-01,9869,3
1994-05-01,10009,4
1994-06-01,9893,5
1994-07-01,9735,1
1994-08-01,11157,2
1994-09-01,10217,3
1994-10-01,10730,4
1994-11-01,12354,5
1994-12-01,20016,1
1995-01-01,7518,2
1995-02-01,7961,3
1995-03-01,9815,4
1995-04-01,10168,5
1995-05-01,10620,1
1995-06-01,10301,2
1995-07-01,9784,3
1995-08-01,11264,4
1995-09-01,10710,5
1995-10-01,10439,1
1995-11-01,12751,2
1995-12-01,20002,3
1996-01-01,7684,4
1996-02-01,8991,5
1996-03-01,10349,1
1996-04-01,10570,2
1996-05-01,11405,3
1996-06-01,10554,4
1996-07-01,10202,5
1996-08-01,12134,1
1996-09-01,10623,2
1996-10-01,11250,3
1996-11-01,12875,4
1996-12-01,19944,5
1997-01-01,8194,1
1997-02-01,8835,2
1997-03-01,10840,3
1997-04-01,10131,4
1997-05-01,11505,5
1997-06-01,10654,1
1997-07-01,10734,2
1997-08-01,12461,3
1997-09-01,10942,4
1997-10-01,11635,5
1997-11-01,13244,1
1997-12-01,21118,2
1998-01-01,8800,3
1998-02-01,9499,4
1998-03-01,10863,5
1998-04-01,11825,1
1998-05-01,12239,2
1998-06-01,11451,3
1998-07-01,11633,4
1998-08-01,12971,5
1998-09-01,11214,1
1998-10-01,12384,2
1998-11-01,13854,3
1998-12-01,22418,4
1999-01-01,9237,5
1999-02-01,10171,1
1999-03-01,12081,2
1999-04-01,12386,3
1999-05-01,13167,4
1999-06-01,12280,5
1999-07-01,12461,1
1999-08-01,13734,2
1999-09-01,12357,3
1999-10-01,12948,4
1999-11-01,14643,5
1999-12-01,24286,1
2000-01-01,9447,2
